font_size,bold,indent,length,numbered,is_all_caps,upper_ratio,ends_with_colon,word_count,is_page1,pdf_name,text,label
font_size,bold,indent,length,numbered,0,0.0,0,1,0,pdf_name,text,label
11.670000076293944,1,199.8600006103516,41,0,0,0.0975609756097561,0,7,0,file01.pdf,Application form for grant of LTC advance,TITLE
9.744400024414062,1,70.0199966430664,2,0,0,0.0,0,1,0,file01.pdf,1.,BODY
9.744400024414062,0,95.99856567382812,30,0,0,0.1,0,5,0,file01.pdf,Name of the Government Servant,H1
9.744400024414062,1,70.0199966430664,2,0,0,0.0,0,1,0,file01.pdf,2.,BODY
9.744400024414062,0,95.99856567382812,11,0,0,0.09090909090909091,0,1,0,file01.pdf,Designation,H1
9.744400024414062,1,70.0199966430664,2,0,0,0.0,0,1,0,file01.pdf,3.,BODY
9.744400024414062,0,95.99856567382812,39,0,0,0.0851063829787234,0,7,0,file01.pdf,Date of entering the Central Government Service,H1
9.744400024414062,0,95.99856567382812,7,0,0,0.14285714285714285,0,1,0,file01.pdf,Service,BODY
9.744400024414062,1,70.0199966430664,2,0,0,0.0,0,1,0,file01.pdf,4.,BODY
9.744400024414062,0,95.99856567382812,14,0,1,0.5714285714285714,0,5,0,file01.pdf,PAY + SI + NPA,H1
9.744400024414062,1,70.0199966430664,2,0,0,0.0,0,1,0,file01.pdf,5.,BODY
9.744400024414062,0,95.99856567382812,30,0,0,0.03333333333333333,0,4,0,file01.pdf,Whether permanent or temporary,H1
9.744400024414062,1,70.0199966430664,2,0,0,0.0,0,1,0,file01.pdf,6.,BODY
9.744400024414062,0,95.99856567382812,41,0,0,0.0975609756097561,0,8,0,file01.pdf,Home Town as recorded in the Service Book,H1
9.744400024414062,1,70.0199966430664,2,0,0,0.0,0,1,0,file01.pdf,7.,BODY
9.744400024414062,0,95.99856567382812,41,0,0,0.058823529411764705,0,13,0,file01.pdf,Whether wife / husband is employed and if so whether entitled to LTC,H1
